customer_id;order_date;order_id;pages_visited;tshirt_category;tshirt_price;tshirt_quantity;user_agent
7uruq8;09/06/2016;HTS-7uruq8-0001;11;Tennis Shirt;24;1;Mozilla/5.0 (Windows NT 10.0| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
428094;18/11/2016;HTS-428094-0002;13;Tennis Shirt;24;1;Mozilla/5.0 (Windows NT 10.0| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
426724;19/08/2015;HTS-426724-0003;14;Tennis Shirt;24;16;Mozilla/5.0 (Windows NT 10.0| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
428094;29/02/2016;HTS-428094-0001;19;Tennis Shirt;24;3;Mozilla/5.0 (Windows NT 10.0| WOW64| rv:51.0) Gecko/20100101 Firefox/51.0
638837;19/12/2013;HTS-638837-0001;13;Tennis Shirt;24;1;Mozilla/5.0 (Windows NT 10.0| WOW64| rv:52.0) Gecko/20100101 Firefox/52.0
loq4x4;06/01/2016;HTS-loq4x4-0001;20;Tennis Shirt;24;1;Mozilla/5.0 (Windows NT 10.0| WOW64| rv:52.0) Gecko/20100101 Firefox/52.0
227028;05/11/2014;HTS-227028-0001;8;Tennis Shirt;24;2;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393
cxrtv5;26/08/2016;HTS-cxrtv5-0002;5;Tennis Shirt;24;3;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
498253;20/09/2015;HTS-498253-0001;7;Tennis Shirt;24;1;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
ytpmwv;19/03/2017;HTS-ytpmwv-0003;8;Tennis Shirt;24;1;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
