customer_id;order_date;order_id;pages_visited;tshirt_category;tshirt_price;tshirt_quantity;user_agent
357500;26/02/2015;HTS-357500-0003;14;Black T-Shirt F;17,5;14;Mozilla/5.0 (Windows NT 10.0| WOW64| rv:52.0) Gecko/20100101 Firefox/52.0
357500;26/05/2014;HTS-357500-0002;20;Black T-Shirt F;17,5;13;Mozilla/5.0 (Windows NT 10.0| WOW64| rv:52.0) Gecko/20100101 Firefox/52.0
256541;15/11/2014;HTS-256541-0001;8;Black T-Shirt F;17,5;1;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393
694300;20/03/2017;HTS-694300-0005;9;Black T-Shirt F;17,5;2;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393
491681;16/02/2016;HTS-491681-0005;5;Black T-Shirt F;17,5;1;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
o7fecu;11/10/2016;HTS-o7fecu-0004;6;Black T-Shirt F;17,5;1;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
03i0ia;30/07/2016;HTS-03i0ia-0002;8;Black T-Shirt F;17,5;2;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
ubm5qz;14/06/2016;HTS-ubm5qz-0002;8;Black T-Shirt F;17,5;2;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
p1ko7t;17/11/2015;HTS-p1ko7t-0001;8;Black T-Shirt F;17,5;5;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
tnxnh3;20/07/2016;HTS-tnxnh3-0002;8;Black T-Shirt F;17,5;6;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
41utl3;13/01/2017;HTS-41utl3-0004;8;Black T-Shirt F;17,5;12;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
xm6y52;23/03/2016;HTS-xm6y52-0002;9;Black T-Shirt F;17,5;1;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
359468;04/01/2016;HTS-359468-0001;9;Black T-Shirt F;17,5;3;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
p1ko7t;23/08/2016;HTS-p1ko7t-0002;9;Black T-Shirt F;17,5;8;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
yb0362;16/11/2015;HTS-yb0362-0001;9;Black T-Shirt F;17,5;11;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
2w14mp;06/08/2016;HTS-2w14mp-0002;9;Black T-Shirt F;17,5;19;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
5rem3f;23/12/2016;HTS-5rem3f-0003;10;Black T-Shirt F;17,5;1;Mozilla/5.0 (Windows NT 10.0| Win64| x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
